"","x","y"
"1",486306.729017719,9701319.3152273
"2",481900.040440156,9706372.86304121
"3",489187.606062837,9707428.20857995
"4",487285.426535743,9701767.72318863
"5",498998.185259376,9698782.57127449
"6",493867.403548165,9704379.7974843
"7",493534.849063371,9709254.88882036
"8",479748.567684259,9709574.79308709
"9",484145.821117583,9698424.57913948
"10",490681.355102812,9693365.35698721
"11",485155.090662752,9706545.77544498
"12",479912.193636638,9700201.03073246
"13",495899.054354941,9706713.52189206
"14",494435.375195334,9701215.1882957
"15",485624.066086421,9699954.70869545
"16",492377.278965618,9707072.42163031
"17",492726.629352904,9697448.33130951
"18",494478.515549927,9698199.80848409
"19",498691.086923413,9695631.4035497
"20",490182.657935006,9708114.34439112
"21",490511.088676151,9706873.75094247
"22",479978.627695548,9700040.1846829
"23",482102.632658942,9701526.66153445
"24",481182.576442703,9709924.78626929
"25",489683.215914312,9703014.79916277
"26",494540.861563928,9692582.27060644
"27",484745.988073936,9707538.61533555
"28",487062.62475602,9705015.74914491
"29",497433.527340425,9709656.4006233
"30",497183.935401119,9691953.68277397
"31",497815.825785404,9693805.31439714
"32",498236.53578809,9699386.0025926
"33",480688.793211533,9701720.64313847
"34",492412.53591352,9709410.83330521
"35",475874.28824728,9705871.54713461
"36",479923.19151349,9707868.42711419
"37",496125.822884707,9700973.31118176
"38",490288.044600716,9707552.43174344
"39",477092.778547143,9704282.59751623
"40",489882.475801386,9699233.40744239
"41",486685.881281422,9697261.30718101
"42",495664.752392331,9690696.07897982
"43",474028.545140792,9708515.36773689
"44",475230.994130413,9708779.34011018
"45",484299.692952448,9703932.423474
"46",479496.790740647,9705693.36890978
"47",480061.896491888,9706548.78156845
"48",482736.311912788,9711231.89209154
"49",495180.106532079,9694025.7016548
"50",488709.347661733,9698471.84270982
"51",484538.389933614,9708936.21379199
"52",488750.265549168,9709792.95980017
"53",476688.808497687,9702081.20900916
"54",488490.25080249,9703427.92355665
"55",488934.826853175,9696515.06244302
"56",488890.440871003,9695491.94236052
"57",493691.48151718,9710487.05092251
"58",499725.836616669,9699471.20680339
"59",476672.946489702,9712458.82650524
"60",496536.933521593,9690119.17682016
"61",494435.816566045,9697324.41664559
"62",497904.856345108,9708134.79186767
"63",482274.693082111,9709239.02388635
"64",495014.785159007,9704222.57558366
"65",494464.844046843,9704375.24792513
"66",498059.538776614,9695142.85396216
"67",487776.43896758,9699480.47618248
"68",487717.402498861,9705383.10031931
"69",492260.532565964,9704423.83633371
"70",499420.643759212,9701437.10621921
"71",491090.810813922,9695982.22085038
"72",488535.234726327,9703236.77598095
"73",487090.312492706,9702219.8014945
"74",496198.286276029,9692176.62613725
"75",490363.398407882,9695609.84166909
"76",480067.03504025,9710077.34543389
"77",493687.591953107,9698713.25260643
"78",484274.991169228,9701230.38555814
"79",494565.045623519,9698493.49998979
"80",493287.226857855,9701385.76079069
"81",476565.405036209,9712106.81170504
"82",487001.225224192,9696703.7487639
"83",487688.443132338,9694329.44504546
"84",491918.850186221,9695057.47160457
"85",490071.104789524,9694019.07197224
"86",486449.545170478,9709129.2345074
"87",489923.082629543,9701267.23788276
"88",497076.938200296,9698383.63120771
"89",484725.805452442,9704842.31732372
"90",496904.582000683,9700631.83277182
"91",497292.364925117,9702178.60271328
"92",487583.720593074,9709524.08660536
"93",491282.731228455,9697794.15646505
"94",492708.328186158,9702901.17474064
"95",495440.159250017,9692793.60887554
"96",495194.055423203,9706134.08012437
"97",478638.86034921,9705122.81249369
"98",496710.861225369,9703084.33337296
"99",495055.015753792,9709116.49267224
"100",486974.617166166,9704106.23687489
