x;y;ls
495078.0564;9702473.62;1
478201.8435;9699002.514;1
479202.1369;9700925.739;1
493065.9984;9695789.794;1
495931.9633;9691169.803;1
491052.7062;9700308.179;1
483937.0277;9708785.676;1
480879.7354;9704969.045;1
495167.1403;9698710.044;1
498322.0683;9689833.165;1
493929.064;9703536.546;1
481226.7736;9698575.377;1
497704.2319;9693894.402;1
490463.4412;9706341.546;1
491074.155;9700862.468;1
480099.1981;9698964.525;1
477203.6405;9707328.728;1
496181.0246;9692093.624;1
479123.5556;9698924.681;1
476948.8384;9702468.676;1
489660.794;9693410.013;1
482231.8344;9699382.709;1
474791.8243;9708423.999;1
491493.9531;9696812.237;1
493410.1289;9706816.465;1
493141.0043;9701808.597;1
489241.8489;9709382.466;1
492557.0817;9706396.232;1
475279.4848;9705555.806;1
476000.8278;9705929.239;1
479122.5789;9706439.107;1
496339.9547;9710831.858;1
496761.8415;9699568.701;1
478839.4523;9701173.235;1
499633.5895;9697678.515;1
486140.1037;9703789.954;1
493973.0836;9702030.798;1
482925.9993;9697023.529;1
477279.662;9708963.076;1
479668.5231;9709534.009;1
495192.2078;9704721.734;1
498386.3464;9693044.596;1
478628.976;9705499.188;1
482200.4251;9709109.729;1
496139.4288;9694578.602;1
490527.4641;9698272.292;1
486176.2918;9707953.764;1
483884.3405;9706314.796;1
491656.8873;9694240.74;1
484315.1314;9704521.798;1
486306.729;9701319.315;2
481900.0404;9706372.863;2
489187.6061;9707428.209;2
487285.4265;9701767.723;2
498998.1853;9698782.571;2
493867.4035;9704379.797;2
493534.8491;9709254.889;2
479748.5677;9709574.793;2
484145.8211;9698424.579;2
490681.3551;9693365.357;2
485155.0907;9706545.775;2
479912.1936;9700201.031;2
495899.0544;9706713.522;2
494435.3752;9701215.188;2
485624.0661;9699954.709;2
492377.279;9707072.422;2
492726.6294;9697448.331;2
494478.5155;9698199.808;2
498691.0869;9695631.404;2
490182.6579;9708114.344;2
490511.0887;9706873.751;2
479978.6277;9700040.185;2
482102.6327;9701526.662;2
481182.5764;9709924.786;2
489683.2159;9703014.799;2
494540.8616;9692582.271;2
484745.9881;9707538.615;2
487062.6248;9705015.749;2
497433.5273;9709656.401;2
497183.9354;9691953.683;2
497815.8258;9693805.314;2
498236.5358;9699386.003;2
480688.7932;9701720.643;2
492412.5359;9709410.833;2
475874.2882;9705871.547;2
479923.1915;9707868.427;2
496125.8229;9700973.311;2
490288.0446;9707552.432;2
477092.7785;9704282.598;2
489882.4758;9699233.407;2
486685.8813;9697261.307;2
495664.7524;9690696.079;2
474028.5451;9708515.368;2
475230.9941;9708779.34;2
484299.693;9703932.423;2
479496.7907;9705693.369;2
480061.8965;9706548.782;2
482736.3119;9711231.892;2
495180.1065;9694025.702;2
488709.3477;9698471.843;2
